"axis","sheet","cell_ref","workbook_row","window","company_no","canonical_name","KRX_code","current_status","membership_or_tradability","evidence_or_price_status","closure_evidence_required"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K19",19,"W1",18,"씨엠티엑스","388210","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K50",50,"W1",49,"삼양엔씨켐","482630","NEEDS_RESEARCH","UNRESOLVED","SEARCHED_NO_CUTOFF_SAFE_DETAILED_PRIMARY_BUSINESS_EVIDENCE","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K60",60,"W1",59,"엘케이켐","489500","NEEDS_RESEARCH","UNRESOLVED","SEARCHED_NO_CUTOFF_SAFE_DETAILED_PRIMARY_BUSINESS_EVIDENCE","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K62",62,"W1",61,"레이저쎌","412350","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K63",63,"W1",62,"쎄크","081180","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K64",64,"W1",63,"다원넥스뷰","323350","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K65",65,"W1",64,"코스텍시스","355150","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K66",66,"W1",65,"엠케이전자","033160","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K67",67,"W1",66,"지앤비에스 에코","382800","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K68",68,"W1",67,"인텍플러스","064290","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K69",69,"W1",68,"대덕전자","353200","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K70",70,"W1",69,"코리아써키트","007810","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K71",71,"W1",70,"하나마이크론","067310","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K72",72,"W1",71,"네패스","033640","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K73",73,"W1",72,"SFA반도체","036540","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K74",74,"W1",73,"LB세미콘","061970","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K75",75,"W1",74,"에이팩트","200470","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K76",76,"W1",75,"윈팩","097800","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
"HISTORICAL_BUSINESS_PRIORITY","Historical_BP","K77",77,"W1",76,"시그네틱스","033170","NEEDS_RESEARCH","UNRESOLVED","NOT_RESEARCHED","CUTOFF_SAFE_PRIMARY_BUSINESS_PRIORITY_EVIDENCE_OR_EXPLICIT_UNRECOVERABLE"
